Id,Id2,Geography,,,Total_Pop,Total_Pop_MOE,Elderly,Elderly_MOE,Pct_Elderly
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",,,3795,466,165,53,4.35
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",,,3061,468,106,38,3.46
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",,,2734,308,261,50,9.55
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",,,3548,454,160,37,4.51
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",,,3802,410,225,62,5.92
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",,,5361,522,471,104,8.79
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",,,2694,301,202,46,7.50
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",,,2780,341,129,52,4.64
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",,,4182,548,677,131,16.19
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",,,3950,501,803,187,20.33
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",,,3766,348,484,81,12.85
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",,,3609,411,483,76,13.38
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",,,5267,785,555,110,10.54
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",,,4423,531,567,101,12.82
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",,,3070,319,289,44,9.41
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",,,2165,256,397,100,18.34
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",,,3473,467,519,85,14.94
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",,,3214,570,651,275,20.26
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",,,2080,281,327,83,15.72
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",,,2314,276,243,37,10.50
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",,,4289,590,478,75,11.14
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",,,2805,423,397,96,14.15
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",,,3951,456,287,80,7.26
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",,,1825,239,210,40,11.51
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",,,3184,373,230,77,7.22
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",,,3546,239,287,41,8.09
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",,,3212,241,337,58,10.49
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",,,2929,274,199,44,6.79
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",,,2383,237,140,55,5.87
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",,,2409,172,279,63,11.58
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",,,2133,310,398,77,18.66
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",,,1355,180,132,65,9.74
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",,,2311,352,222,78,9.61
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",,,1930,250,194,61,10.05
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",,,4598,478,636,102,13.83
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",,,2148,446,34,18,1.58
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",,,2442,313,222,72,9.09
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",,,3465,507,376,82,10.85
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",,,3046,372,234,48,7.68
1400000US11001009000,11001009000,"Census Tract 90, District of Columbia, District of Columbia",,,3049,269,921,117,30.21
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",,,5288,497,431,67,8.15
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",,,2261,273,206,80,9.11
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",,,2612,415,263,97,10.07
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",,,2785,288,438,84,15.73
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",,,3204,360,545,124,17.01
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",,,1053,143,169,46,16.05
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",,,4850,459,873,102,18.00
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",,,7088,560,441,104,6.22
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",,,3347,208,620,78,18.52
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",,,3315,345,930,241,28.05
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",,,2701,323,669,83,24.77
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",,,1631,205,330,50,20.23
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",,,3829,429,653,140,17.05
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",,,3485,475,688,118,19.74
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",,,2211,281,269,40,12.17
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",,,3457,439,202,66,5.84
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",,,3014,477,442,100,14.66
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",,,2108,208,520,75,24.67
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",,,3371,425,293,67,8.69
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",,,2159,300,219,48,10.14
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",,,1646,221,138,21,8.38
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",,,2733,375,347,66,12.70
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",,,2778,283,234,42,8.42
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",,,3043,360,402,80,13.21
1400000US11001009810,11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",,,2676,305,134,61,5.01
1400000US11001009811,11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",,,5018,499,332,88,6.62
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",,,2563,247,596,78,23.25
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",,,2780,293,611,106,21.98
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",,,1828,231,173,63,9.46
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",,,2462,311,96,35,3.90
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",,,2795,392,185,72,6.62
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",,,1521,188,204,52,13.41
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",,,2890,321,191,37,6.61
1400000US11001010100,11001010100,"Census Tract 101, District of Columbia, District of Columbia",,,2624,242,346,98,13.19
1400000US11001010200,11001010200,"Census Tract 102, District of Columbia, District of Columbia",,,2537,265,422,71,16.63
1400000US11001010300,11001010300,"Census Tract 103, District of Columbia, District of Columbia",,,3462,423,475,111,13.72
1400000US11001010400,11001010400,"Census Tract 104, District of Columbia, District of Columbia",,,4474,580,376,92,8.40
1400000US11001010500,11001010500,"Census Tract 105, District of Columbia, District of Columbia",,,3418,312,364,97,10.65
1400000US11001010600,11001010600,"Census Tract 106, District of Columbia, District of Columbia",,,5783,530,265,62,4.58
1400000US11001010700,11001010700,"Census Tract 107, District of Columbia, District of Columbia",,,1821,218,136,39,7.47
1400000US11001010800,11001010800,"Census Tract 108, District of Columbia, District of Columbia",,,6289,830,120,59,1.91
1400000US11001010900,11001010900,"Census Tract 109, District of Columbia, District of Columbia",,,4275,876,164,75,3.84
1400000US11001011000,11001011000,"Census Tract 110, District of Columbia, District of Columbia",,,3552,418,863,179,24.30
1400000US11001011100,11001011100,"Census Tract 111, District of Columbia, District of Columbia",,,5490,475,929,184,16.92
