"GEOID","NAME.x","variable","estimate","moe","NAME.y","sum_var","sum_est","sum_moe","pct"
"11001009000","Census Tract 90, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 90, District of Columbia, District of Columbia","B01003_001",3049,269,0
"11001009102","Census Tract 91.02, District of Columbia, District of Columbia","B26001_001",54,32,"Census Tract 91.02, District of Columbia, District of Columbia","B01003_001",5288,497,1.02
"11001009201","Census Tract 92.01, District of Columbia, District of Columbia","B26001_001",587,228,"Census Tract 92.01, District of Columbia, District of Columbia","B01003_001",2261,273,25.96
"11001009203","Census Tract 92.03, District of Columbia, District of Columbia","B26001_001",27,20,"Census Tract 92.03, District of Columbia, District of Columbia","B01003_001",2612,415,1.03
"11001009204","Census Tract 92.04, District of Columbia, District of Columbia","B26001_001",8,4,"Census Tract 92.04, District of Columbia, District of Columbia","B01003_001",2785,288,0.29
"11001009301","Census Tract 93.01, District of Columbia, District of Columbia","B26001_001",111,135,"Census Tract 93.01, District of Columbia, District of Columbia","B01003_001",3204,360,3.46
"11001009302","Census Tract 93.02, District of Columbia, District of Columbia","B26001_001",8,4,"Census Tract 93.02, District of Columbia, District of Columbia","B01003_001",1053,143,0.76
"11001009400","Census Tract 94, District of Columbia, District of Columbia","B26001_001",76,133,"Census Tract 94, District of Columbia, District of Columbia","B01003_001",4850,459,1.57
"11001009501","Census Tract 95.01, District of Columbia, District of Columbia","B26001_001",2041,276,"Census Tract 95.01, District of Columbia, District of Columbia","B01003_001",7088,560,28.8
"11001009503","Census Tract 95.03, District of Columbia, District of Columbia","B26001_001",184,101,"Census Tract 95.03, District of Columbia, District of Columbia","B01003_001",3347,208,5.5
"11001009504","Census Tract 95.04, District of Columbia, District of Columbia","B26001_001",340,158,"Census Tract 95.04, District of Columbia, District of Columbia","B01003_001",3315,345,10.26
"11001009505","Census Tract 95.05, District of Columbia, District of Columbia","B26001_001",31,22,"Census Tract 95.05, District of Columbia, District of Columbia","B01003_001",2701,323,1.15
"11001009507","Census Tract 95.07, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 95.07, District of Columbia, District of Columbia","B01003_001",1631,205,0
"11001009508","Census Tract 95.08, District of Columbia, District of Columbia","B26001_001",5,4,"Census Tract 95.08, District of Columbia, District of Columbia","B01003_001",3829,429,0.13
