"GEOID","NAME","variable","estimate","moe"
"11001007403","Census Tract 74.03, District of Columbia, District of Columbia","B19301_001",13191,2016
"11001007404","Census Tract 74.04, District of Columbia, District of Columbia","B19301_001",16071,4680
"11001007406","Census Tract 74.06, District of Columbia, District of Columbia","B19301_001",13077,2168
"11001007407","Census Tract 74.07, District of Columbia, District of Columbia","B19301_001",21111,4343
"11001007408","Census Tract 74.08, District of Columbia, District of Columbia","B19301_001",11340,2219
"11001007409","Census Tract 74.09, District of Columbia, District of Columbia","B19301_001",16408,2491
"11001007502","Census Tract 75.02, District of Columbia, District of Columbia","B19301_001",18210,6741
"11001007503","Census Tract 75.03, District of Columbia, District of Columbia","B19301_001",14185,2054
"11001007504","Census Tract 75.04, District of Columbia, District of Columbia","B19301_001",15411,4123
"11001007601","Census Tract 76.01, District of Columbia, District of Columbia","B19301_001",25917,4276
"11001007603","Census Tract 76.03, District of Columbia, District of Columbia","B19301_001",37890,6424
"11001007604","Census Tract 76.04, District of Columbia, District of Columbia","B19301_001",32246,4277
"11001007605","Census Tract 76.05, District of Columbia, District of Columbia","B19301_001",22948,2887
"11001007703","Census Tract 77.03, District of Columbia, District of Columbia","B19301_001",16309,4972
"11001007707","Census Tract 77.07, District of Columbia, District of Columbia","B19301_001",20301,3235
"11001007708","Census Tract 77.08, District of Columbia, District of Columbia","B19301_001",16794,2701
"11001007709","Census Tract 77.09, District of Columbia, District of Columbia","B19301_001",20962,2904
"11001007803","Census Tract 78.03, District of Columbia, District of Columbia","B19301_001",22943,3789
"11001007804","Census Tract 78.04, District of Columbia, District of Columbia","B19301_001",19639,3301
"11001007806","Census Tract 78.06, District of Columbia, District of Columbia","B19301_001",20595,4007
"11001007807","Census Tract 78.07, District of Columbia, District of Columbia","B19301_001",24328,7127
"11001007808","Census Tract 78.08, District of Columbia, District of Columbia","B19301_001",20546,3611
"11001007809","Census Tract 78.09, District of Columbia, District of Columbia","B19301_001",23366,4377
"11001007901","Census Tract 79.01, District of Columbia, District of Columbia","B19301_001",28348,3005
"11001007903","Census Tract 79.03, District of Columbia, District of Columbia","B19301_001",30401,5050
"11001008001","Census Tract 80.01, District of Columbia, District of Columbia","B19301_001",61145,4834
"11001008002","Census Tract 80.02, District of Columbia, District of Columbia","B19301_001",61679,5490
"11001008100","Census Tract 81, District of Columbia, District of Columbia","B19301_001",72554,4361
"11001008200","Census Tract 82, District of Columbia, District of Columbia","B19301_001",76192,11742
"11001008301","Census Tract 83.01, District of Columbia, District of Columbia","B19301_001",70556,8496
"11001008302","Census Tract 83.02, District of Columbia, District of Columbia","B19301_001",62769,5406
"11001008402","Census Tract 84.02, District of Columbia, District of Columbia","B19301_001",53971,5739
"11001008410","Census Tract 84.10, District of Columbia, District of Columbia","B19301_001",49107,7208
"11001008701","Census Tract 87.01, District of Columbia, District of Columbia","B19301_001",44057,7905
"11001008702","Census Tract 87.02, District of Columbia, District of Columbia","B19301_001",33891,10949
"11001008802","Census Tract 88.02, District of Columbia, District of Columbia","B19301_001",32758,5703
"11001008803","Census Tract 88.03, District of Columbia, District of Columbia","B19301_001",13641,3583
"11001008804","Census Tract 88.04, District of Columbia, District of Columbia","B19301_001",23092,3388
"11001008903","Census Tract 89.03, District of Columbia, District of Columbia","B19301_001",21998,3976
"11001008904","Census Tract 89.04, District of Columbia, District of Columbia","B19301_001",21182,2732
"11001009000","Census Tract 90, District of Columbia, District of Columbia","B19301_001",36229,5796
"11001009102","Census Tract 91.02, District of Columbia, District of Columbia","B19301_001",23132,2906
"11001009201","Census Tract 92.01, District of Columbia, District of Columbia","B19301_001",35477,5758
"11001009203","Census Tract 92.03, District of Columbia, District of Columbia","B19301_001",38175,5607
"11001009204","Census Tract 92.04, District of Columbia, District of Columbia","B19301_001",18613,3053
"11001009301","Census Tract 93.01, District of Columbia, District of Columbia","B19301_001",39313,5924
"11001009302","Census Tract 93.02, District of Columbia, District of Columbia","B19301_001",38878,6057
"11001009400","Census Tract 94, District of Columbia, District of Columbia","B19301_001",36298,7043
"11001009501","Census Tract 95.01, District of Columbia, District of Columbia","B19301_001",15095,2019
"11001009503","Census Tract 95.03, District of Columbia, District of Columbia","B19301_001",38464,4054
"11001009504","Census Tract 95.04, District of Columbia, District of Columbia","B19301_001",35007,5266
"11001009505","Census Tract 95.05, District of Columbia, District of Columbia","B19301_001",35238,5050
"11001009507","Census Tract 95.07, District of Columbia, District of Columbia","B19301_001",29913,4361
"11001009508","Census Tract 95.08, District of Columbia, District of Columbia","B19301_001",32825,4894
"11001009509","Census Tract 95.09, District of Columbia, District of Columbia","B19301_001",30668,5544
"11001009601","Census Tract 96.01, District of Columbia, District of Columbia","B19301_001",16009,2520
"11001009602","Census Tract 96.02, District of Columbia, District of Columbia","B19301_001",13416,2034
"11001009603","Census Tract 96.03, District of Columbia, District of Columbia","B19301_001",30651,9582
"11001009604","Census Tract 96.04, District of Columbia, District of Columbia","B19301_001",28769,3723
"11001009700","Census Tract 97, District of Columbia, District of Columbia","B19301_001",17207,2899
"11001009801","Census Tract 98.01, District of Columbia, District of Columbia","B19301_001",14518,3051
"11001009802","Census Tract 98.02, District of Columbia, District of Columbia","B19301_001",16813,2987
"11001009803","Census Tract 98.03, District of Columbia, District of Columbia","B19301_001",16020,2894
"11001009804","Census Tract 98.04, District of Columbia, District of Columbia","B19301_001",19848,2563
"11001009807","Census Tract 98.07, District of Columbia, District of Columbia","B19301_001",27354,9506
"11001009810","Census Tract 98.10, District of Columbia, District of Columbia","B19301_001",16264,4366
"11001009811","Census Tract 98.11, District of Columbia, District of Columbia","B19301_001",13821,1636
"11001009901","Census Tract 99.01, District of Columbia, District of Columbia","B19301_001",42555,5528
"11001009902","Census Tract 99.02, District of Columbia, District of Columbia","B19301_001",28490,4591
"11001009903","Census Tract 99.03, District of Columbia, District of Columbia","B19301_001",26587,4602
"11001009904","Census Tract 99.04, District of Columbia, District of Columbia","B19301_001",20328,3956
"11001009905","Census Tract 99.05, District of Columbia, District of Columbia","B19301_001",22873,4334
"11001009906","Census Tract 99.06, District of Columbia, District of Columbia","B19301_001",21972,3371
"11001009907","Census Tract 99.07, District of Columbia, District of Columbia","B19301_001",17049,3762
"11001010100","Census Tract 101, District of Columbia, District of Columbia","B19301_001",76743,9722
"11001010200","Census Tract 102, District of Columbia, District of Columbia","B19301_001",62999,6256
"11001010300","Census Tract 103, District of Columbia, District of Columbia","B19301_001",30413,4471
"11001010400","Census Tract 104, District of Columbia, District of Columbia","B19301_001",19384,3208
"11001010500","Census Tract 105, District of Columbia, District of Columbia","B19301_001",58591,6452
"11001010600","Census Tract 106, District of Columbia, District of Columbia","B19301_001",59292,4849
"11001010700","Census Tract 107, District of Columbia, District of Columbia","B19301_001",58870,9997
"11001010800","Census Tract 108, District of Columbia, District of Columbia","B19301_001",9861,1721
"11001010900","Census Tract 109, District of Columbia, District of Columbia","B19301_001",12968,3347
"11001011000","Census Tract 110, District of Columbia, District of Columbia","B19301_001",69090,8637
"11001011100","Census Tract 111, District of Columbia, District of Columbia","B19301_001",30431,3768
