"","GEOID","NAME","sum_var","sum_est","sum_moe"
"28","11001001901","Census Tract 19.01, District of Columbia, District of Columbia","B01003_001",3997,402
"29","11001001902","Census Tract 19.02, District of Columbia, District of Columbia","B01003_001",2337,244
"30","11001002001","Census Tract 20.01, District of Columbia, District of Columbia","B01003_001",2848,332
"31","11001002002","Census Tract 20.02, District of Columbia, District of Columbia","B01003_001",3911,537
"32","11001002101","Census Tract 21.01, District of Columbia, District of Columbia","B01003_001",5859,671
"33","11001002102","Census Tract 21.02, District of Columbia, District of Columbia","B01003_001",4921,470
"34","11001002201","Census Tract 22.01, District of Columbia, District of Columbia","B01003_001",3704,328
"35","11001002202","Census Tract 22.02, District of Columbia, District of Columbia","B01003_001",3974,546
"36","11001002301","Census Tract 23.01, District of Columbia, District of Columbia","B01003_001",3220,382
"37","11001002302","Census Tract 23.02, District of Columbia, District of Columbia","B01003_001",1711,235
"38","11001002400","Census Tract 24, District of Columbia, District of Columbia","B01003_001",4257,389
"39","11001002501","Census Tract 25.01, District of Columbia, District of Columbia","B01003_001",2648,373
"40","11001002502","Census Tract 25.02, District of Columbia, District of Columbia","B01003_001",5852,709
"41","11001002600","Census Tract 26, District of Columbia, District of Columbia","B01003_001",2573,171
"42","11001002701","Census Tract 27.01, District of Columbia, District of Columbia","B01003_001",5428,574
"43","11001002702","Census Tract 27.02, District of Columbia, District of Columbia","B01003_001",6300,620
"44","11001002801","Census Tract 28.01, District of Columbia, District of Columbia","B01003_001",4033,394
"45","11001002802","Census Tract 28.02, District of Columbia, District of Columbia","B01003_001",4750,513
"46","11001002900","Census Tract 29, District of Columbia, District of Columbia","B01003_001",4567,390
"47","11001003000","Census Tract 30, District of Columbia, District of Columbia","B01003_001",3534,338
"48","11001003100","Census Tract 31, District of Columbia, District of Columbia","B01003_001",3350,406
"49","11001003200","Census Tract 32, District of Columbia, District of Columbia","B01003_001",4997,547
"50","11001003301","Census Tract 33.01, District of Columbia, District of Columbia","B01003_001",3619,389
"51","11001003302","Census Tract 33.02, District of Columbia, District of Columbia","B01003_001",2338,224
"52","11001003400","Census Tract 34, District of Columbia, District of Columbia","B01003_001",4716,492
"53","11001003500","Census Tract 35, District of Columbia, District of Columbia","B01003_001",5603,585
"54","11001003600","Census Tract 36, District of Columbia, District of Columbia","B01003_001",5036,642
"55","11001003700","Census Tract 37, District of Columbia, District of Columbia","B01003_001",5860,555
"56","11001003800","Census Tract 38, District of Columbia, District of Columbia","B01003_001",4969,549
"57","11001003900","Census Tract 39, District of Columbia, District of Columbia","B01003_001",4492,358
"58","11001004001","Census Tract 40.01, District of Columbia, District of Columbia","B01003_001",4120,441
"59","11001004002","Census Tract 40.02, District of Columbia, District of Columbia","B01003_001",2998,267
"60","11001004100","Census Tract 41, District of Columbia, District of Columbia","B01003_001",2759,225
"61","11001004201","Census Tract 42.01, District of Columbia, District of Columbia","B01003_001",3625,283
"62","11001004202","Census Tract 42.02, District of Columbia, District of Columbia","B01003_001",2635,246
"63","11001004300","Census Tract 43, District of Columbia, District of Columbia","B01003_001",3720,297
"64","11001004400","Census Tract 44, District of Columbia, District of Columbia","B01003_001",5702,376
"65","11001004600","Census Tract 46, District of Columbia, District of Columbia","B01003_001",2947,308
"66","11001004701","Census Tract 47.01, District of Columbia, District of Columbia","B01003_001",4478,641
"67","11001004702","Census Tract 47.02, District of Columbia, District of Columbia","B01003_001",2558,226
"68","11001004801","Census Tract 48.01, District of Columbia, District of Columbia","B01003_001",2223,284
"69","11001004802","Census Tract 48.02, District of Columbia, District of Columbia","B01003_001",3548,382
"70","11001004901","Census Tract 49.01, District of Columbia, District of Columbia","B01003_001",2600,301
"71","11001004902","Census Tract 49.02, District of Columbia, District of Columbia","B01003_001",2842,300
"72","11001005001","Census Tract 50.01, District of Columbia, District of Columbia","B01003_001",2116,249
"73","11001005002","Census Tract 50.02, District of Columbia, District of Columbia","B01003_001",6051,487
"74","11001005201","Census Tract 52.01, District of Columbia, District of Columbia","B01003_001",6224,503
"75","11001005301","Census Tract 53.01, District of Columbia, District of Columbia","B01003_001",4999,308
"76","11001005500","Census Tract 55, District of Columbia, District of Columbia","B01003_001",6632,721
"77","11001005600","Census Tract 56, District of Columbia, District of Columbia","B01003_001",6964,1006
"78","11001005800","Census Tract 58, District of Columbia, District of Columbia","B01003_001",2781,315
"79","11001005900","Census Tract 59, District of Columbia, District of Columbia","B01003_001",2882,299
"80","11001006202","Census Tract 62.02, District of Columbia, District of Columbia","B01003_001",117,94
"81","11001006400","Census Tract 64, District of Columbia, District of Columbia","B01003_001",2130,280
"82","11001006500","Census Tract 65, District of Columbia, District of Columbia","B01003_001",2583,277
"83","11001006600","Census Tract 66, District of Columbia, District of Columbia","B01003_001",1904,208
"84","11001006700","Census Tract 67, District of Columbia, District of Columbia","B01003_001",4213,234
"85","11001006801","Census Tract 68.01, District of Columbia, District of Columbia","B01003_001",2017,195
"86","11001006802","Census Tract 68.02, District of Columbia, District of Columbia","B01003_001",2342,224
"87","11001006804","Census Tract 68.04, District of Columbia, District of Columbia","B01003_001",2949,251
"88","11001006900","Census Tract 69, District of Columbia, District of Columbia","B01003_001",2181,192
"89","11001007000","Census Tract 70, District of Columbia, District of Columbia","B01003_001",2794,430
"90","11001007100","Census Tract 71, District of Columbia, District of Columbia","B01003_001",3064,403
"91","11001007200","Census Tract 72, District of Columbia, District of Columbia","B01003_001",4584,514
"92","11001007301","Census Tract 73.01, District of Columbia, District of Columbia","B01003_001",4002,392
"93","11001007304","Census Tract 73.04, District of Columbia, District of Columbia","B01003_001",3514,467
"94","11001007401","Census Tract 74.01, District of Columbia, District of Columbia","B01003_001",2453,200
"95","11001007403","Census Tract 74.03, District of Columbia, District of Columbia","B01003_001",3500,371
"96","11001007404","Census Tract 74.04, District of Columbia, District of Columbia","B01003_001",3795,466
"97","11001007406","Census Tract 74.06, District of Columbia, District of Columbia","B01003_001",3061,468
"98","11001007407","Census Tract 74.07, District of Columbia, District of Columbia","B01003_001",2734,308
"99","11001007408","Census Tract 74.08, District of Columbia, District of Columbia","B01003_001",3548,454
"100","11001007409","Census Tract 74.09, District of Columbia, District of Columbia","B01003_001",3802,410
"101","11001007502","Census Tract 75.02, District of Columbia, District of Columbia","B01003_001",5361,522
"102","11001007503","Census Tract 75.03, District of Columbia, District of Columbia","B01003_001",2694,301
"103","11001007504","Census Tract 75.04, District of Columbia, District of Columbia","B01003_001",2780,341
"104","11001007601","Census Tract 76.01, District of Columbia, District of Columbia","B01003_001",4182,548
"105","11001007603","Census Tract 76.03, District of Columbia, District of Columbia","B01003_001",3950,501
"106","11001007604","Census Tract 76.04, District of Columbia, District of Columbia","B01003_001",3766,348
"107","11001007605","Census Tract 76.05, District of Columbia, District of Columbia","B01003_001",3609,411
"108","11001007703","Census Tract 77.03, District of Columbia, District of Columbia","B01003_001",5267,785
"109","11001007707","Census Tract 77.07, District of Columbia, District of Columbia","B01003_001",4423,531
"110","11001007708","Census Tract 77.08, District of Columbia, District of Columbia","B01003_001",3070,319
"111","11001007709","Census Tract 77.09, District of Columbia, District of Columbia","B01003_001",2165,256
"112","11001007803","Census Tract 78.03, District of Columbia, District of Columbia","B01003_001",3473,467
"113","11001007804","Census Tract 78.04, District of Columbia, District of Columbia","B01003_001",3214,570
"114","11001007806","Census Tract 78.06, District of Columbia, District of Columbia","B01003_001",2080,281
"115","11001007807","Census Tract 78.07, District of Columbia, District of Columbia","B01003_001",2314,276
"116","11001007808","Census Tract 78.08, District of Columbia, District of Columbia","B01003_001",4289,590
"117","11001007809","Census Tract 78.09, District of Columbia, District of Columbia","B01003_001",2805,423
"118","11001007901","Census Tract 79.01, District of Columbia, District of Columbia","B01003_001",3951,456
"119","11001007903","Census Tract 79.03, District of Columbia, District of Columbia","B01003_001",1825,239
"120","11001008001","Census Tract 80.01, District of Columbia, District of Columbia","B01003_001",3184,373
"121","11001008002","Census Tract 80.02, District of Columbia, District of Columbia","B01003_001",3546,239
"122","11001008100","Census Tract 81, District of Columbia, District of Columbia","B01003_001",3212,241
"123","11001008200","Census Tract 82, District of Columbia, District of Columbia","B01003_001",2929,274
"124","11001008301","Census Tract 83.01, District of Columbia, District of Columbia","B01003_001",2383,237
"125","11001008302","Census Tract 83.02, District of Columbia, District of Columbia","B01003_001",2409,172
"126","11001008402","Census Tract 84.02, District of Columbia, District of Columbia","B01003_001",2133,310
"127","11001008410","Census Tract 84.10, District of Columbia, District of Columbia","B01003_001",1355,180
"128","11001008701","Census Tract 87.01, District of Columbia, District of Columbia","B01003_001",2311,352
"129","11001008702","Census Tract 87.02, District of Columbia, District of Columbia","B01003_001",1930,250
"130","11001008802","Census Tract 88.02, District of Columbia, District of Columbia","B01003_001",4598,478
"131","11001008803","Census Tract 88.03, District of Columbia, District of Columbia","B01003_001",2148,446
"132","11001008804","Census Tract 88.04, District of Columbia, District of Columbia","B01003_001",2442,313
"133","11001008903","Census Tract 89.03, District of Columbia, District of Columbia","B01003_001",3465,507
"134","11001008904","Census Tract 89.04, District of Columbia, District of Columbia","B01003_001",3046,372
"135","11001009000","Census Tract 90, District of Columbia, District of Columbia","B01003_001",3049,269
"136","11001009102","Census Tract 91.02, District of Columbia, District of Columbia","B01003_001",5288,497
"137","11001009201","Census Tract 92.01, District of Columbia, District of Columbia","B01003_001",2261,273
"138","11001009203","Census Tract 92.03, District of Columbia, District of Columbia","B01003_001",2612,415
"139","11001009204","Census Tract 92.04, District of Columbia, District of Columbia","B01003_001",2785,288
"140","11001009301","Census Tract 93.01, District of Columbia, District of Columbia","B01003_001",3204,360
"141","11001009302","Census Tract 93.02, District of Columbia, District of Columbia","B01003_001",1053,143
"142","11001009400","Census Tract 94, District of Columbia, District of Columbia","B01003_001",4850,459
"143","11001009501","Census Tract 95.01, District of Columbia, District of Columbia","B01003_001",7088,560
"144","11001009503","Census Tract 95.03, District of Columbia, District of Columbia","B01003_001",3347,208
"145","11001009504","Census Tract 95.04, District of Columbia, District of Columbia","B01003_001",3315,345
"146","11001009505","Census Tract 95.05, District of Columbia, District of Columbia","B01003_001",2701,323
"147","11001009507","Census Tract 95.07, District of Columbia, District of Columbia","B01003_001",1631,205
"148","11001009508","Census Tract 95.08, District of Columbia, District of Columbia","B01003_001",3829,429
"149","11001009509","Census Tract 95.09, District of Columbia, District of Columbia","B01003_001",3485,475
"150","11001009601","Census Tract 96.01, District of Columbia, District of Columbia","B01003_001",2211,281
"151","11001009602","Census Tract 96.02, District of Columbia, District of Columbia","B01003_001",3457,439
"152","11001009603","Census Tract 96.03, District of Columbia, District of Columbia","B01003_001",3014,477
"153","11001009604","Census Tract 96.04, District of Columbia, District of Columbia","B01003_001",2108,208
"154","11001009700","Census Tract 97, District of Columbia, District of Columbia","B01003_001",3371,425
"155","11001009801","Census Tract 98.01, District of Columbia, District of Columbia","B01003_001",2159,300
"156","11001009802","Census Tract 98.02, District of Columbia, District of Columbia","B01003_001",1646,221
"157","11001009803","Census Tract 98.03, District of Columbia, District of Columbia","B01003_001",2733,375
"158","11001009804","Census Tract 98.04, District of Columbia, District of Columbia","B01003_001",2778,283
"159","11001009807","Census Tract 98.07, District of Columbia, District of Columbia","B01003_001",3043,360
"160","11001009810","Census Tract 98.10, District of Columbia, District of Columbia","B01003_001",2676,305
"161","11001009811","Census Tract 98.11, District of Columbia, District of Columbia","B01003_001",5018,499
"162","11001009901","Census Tract 99.01, District of Columbia, District of Columbia","B01003_001",2563,247
"163","11001009902","Census Tract 99.02, District of Columbia, District of Columbia","B01003_001",2780,293
"164","11001009903","Census Tract 99.03, District of Columbia, District of Columbia","B01003_001",1828,231
"165","11001009904","Census Tract 99.04, District of Columbia, District of Columbia","B01003_001",2462,311
"166","11001009905","Census Tract 99.05, District of Columbia, District of Columbia","B01003_001",2795,392
"167","11001009906","Census Tract 99.06, District of Columbia, District of Columbia","B01003_001",1521,188
"168","11001009907","Census Tract 99.07, District of Columbia, District of Columbia","B01003_001",2890,321
"169","11001010100","Census Tract 101, District of Columbia, District of Columbia","B01003_001",2624,242
"170","11001010200","Census Tract 102, District of Columbia, District of Columbia","B01003_001",2537,265
"171","11001010300","Census Tract 103, District of Columbia, District of Columbia","B01003_001",3462,423
"172","11001010400","Census Tract 104, District of Columbia, District of Columbia","B01003_001",4474,580
"173","11001010500","Census Tract 105, District of Columbia, District of Columbia","B01003_001",3418,312
"174","11001010600","Census Tract 106, District of Columbia, District of Columbia","B01003_001",5783,530
"175","11001010700","Census Tract 107, District of Columbia, District of Columbia","B01003_001",1821,218
"176","11001010800","Census Tract 108, District of Columbia, District of Columbia","B01003_001",6289,830
"177","11001010900","Census Tract 109, District of Columbia, District of Columbia","B01003_001",4275,876
"178","11001011000","Census Tract 110, District of Columbia, District of Columbia","B01003_001",3552,418
"179","11001011100","Census Tract 111, District of Columbia, District of Columbia","B01003_001",5490,475
