"GEOID","NAME.x","variable","estimate","moe","NAME.y","sum_var","sum_est","sum_moe","pct"
"11001007708","Census Tract 77.08, District of Columbia, District of Columbia","B09001_001",755,222,"Census Tract 77.08, District of Columbia, District of Columbia","B01003_001",3070,319,24.59
"11001007709","Census Tract 77.09, District of Columbia, District of Columbia","B09001_001",384,90,"Census Tract 77.09, District of Columbia, District of Columbia","B01003_001",2165,256,17.74
"11001007803","Census Tract 78.03, District of Columbia, District of Columbia","B09001_001",721,255,"Census Tract 78.03, District of Columbia, District of Columbia","B01003_001",3473,467,20.76
"11001007804","Census Tract 78.04, District of Columbia, District of Columbia","B09001_001",801,250,"Census Tract 78.04, District of Columbia, District of Columbia","B01003_001",3214,570,24.92
"11001007806","Census Tract 78.06, District of Columbia, District of Columbia","B09001_001",547,164,"Census Tract 78.06, District of Columbia, District of Columbia","B01003_001",2080,281,26.3
"11001007807","Census Tract 78.07, District of Columbia, District of Columbia","B09001_001",586,161,"Census Tract 78.07, District of Columbia, District of Columbia","B01003_001",2314,276,25.32
"11001007808","Census Tract 78.08, District of Columbia, District of Columbia","B09001_001",1344,253,"Census Tract 78.08, District of Columbia, District of Columbia","B01003_001",4289,590,31.34
"11001007809","Census Tract 78.09, District of Columbia, District of Columbia","B09001_001",651,259,"Census Tract 78.09, District of Columbia, District of Columbia","B01003_001",2805,423,23.21
"11001007901","Census Tract 79.01, District of Columbia, District of Columbia","B09001_001",834,196,"Census Tract 79.01, District of Columbia, District of Columbia","B01003_001",3951,456,21.11
"11001007903","Census Tract 79.03, District of Columbia, District of Columbia","B09001_001",418,121,"Census Tract 79.03, District of Columbia, District of Columbia","B01003_001",1825,239,22.9
"11001008001","Census Tract 80.01, District of Columbia, District of Columbia","B09001_001",481,143,"Census Tract 80.01, District of Columbia, District of Columbia","B01003_001",3184,373,15.11
"11001008002","Census Tract 80.02, District of Columbia, District of Columbia","B09001_001",489,76,"Census Tract 80.02, District of Columbia, District of Columbia","B01003_001",3546,239,13.79
"11001008100","Census Tract 81, District of Columbia, District of Columbia","B09001_001",478,107,"Census Tract 81, District of Columbia, District of Columbia","B01003_001",3212,241,14.88
"11001008200","Census Tract 82, District of Columbia, District of Columbia","B09001_001",289,67,"Census Tract 82, District of Columbia, District of Columbia","B01003_001",2929,274,9.87
"11001008301","Census Tract 83.01, District of Columbia, District of Columbia","B09001_001",278,98,"Census Tract 83.01, District of Columbia, District of Columbia","B01003_001",2383,237,11.67
"11001008302","Census Tract 83.02, District of Columbia, District of Columbia","B09001_001",293,43,"Census Tract 83.02, District of Columbia, District of Columbia","B01003_001",2409,172,12.16
"11001008402","Census Tract 84.02, District of Columbia, District of Columbia","B09001_001",204,85,"Census Tract 84.02, District of Columbia, District of Columbia","B01003_001",2133,310,9.56
"11001008410","Census Tract 84.10, District of Columbia, District of Columbia","B09001_001",236,61,"Census Tract 84.10, District of Columbia, District of Columbia","B01003_001",1355,180,17.42
